"classification","2017a","2018a","2019ea","2020fa","2021fa","18Q4","19Q1","19Q2","19Q3","19Q4","20Q1E"
"World","3.3",3,"2.4","-5.2","4.2","2.6","2.5","2.4","2.5","2.4",".."
"Advanced economies","2.5",2.1,"1.6","-7","3.9","1.7","1.8","1.6","1.7","1.4",".."
"United States","2.4",2.9,"2.2999999999999998","-6.1","4","2.5","2.7","2.2999999999999998","2.1","2.2999999999999998","0.3"
"Euro Area","2.5",1.9,"1.2","-9.1","4.5","1.2","1.4","1.2","1.3","1","-3.2"
"Japan","2.2000000000000002",0.3,"0.7","-6.1","2.5","-0.3","0.8","0.9","1.8","-0.7","-2.2000000000000002"
"Emerging market and developing economies","4.5",4.3,"3.5","-2.5","4.5999999999999996","4.2","3.8","3.8","3.8","4",".."
"East Asia and Pacific","6.5",6.3,"5.9","0.5","6.6","6.3","6.1","5.9","5.8","5.7","-5.2"
"Cambodia","7",7.5,"7.1","-1","6","..","..","..","..","..",".."
"China","6.8",6.6,"6.1","1","6.9","6.5","6.4","6.2","6","6","-6.8"
"Fiji","5.4",3.5,"1","-4.3","1.9","..","..","..","..","..",".."
"Indonesia","5.0999999999999996",5.2,"5","0","4.8","5.2","5.0999999999999996","5.0999999999999996","5","5","3"
"Lao PDR","6.9",6.3,"4.7","1","4.5999999999999996","..","..","..","..","..",".."
"Malaysia","5.7",4.7,"4.3","-3.1","6.9","4.8","4.5","4.8","4.4000000000000004","3.6","0.7"
"Mongolia","5.3",6.9,"4.8","-0.5","4.9000000000000004","9.6","8.6999999999999993","6.3","4.2","1.8","-10.5"
"Myanmar","6.2",6.8,"6.3","1.5","6","..","..","..","..","..",".."
"Papua New Guinea","3.5",-0.8,"6","-1.3","3.4","..","..","..","..","..",".."
"Philippines","6.9",6.3,"6","-1.9","6.2","6.4","5.7","5.4","6.3","6.7","-0.2"
"Solomon Islands","3.7",3.9,"2.7","-6.7","-0.3","..","..","..","..","..",".."
"Thailand","4.0999999999999996",4.2,"2.4","-5","4.0999999999999996","3.8","2.9","2.4","2.6","1.5","-1.8"
"Timor-Leste","-3.8",-0.8,"3.4","-4.8","3.8","..","..","..","..","..",".."
"Vietnam","6.8",7.1,"7","2.8","6.8","7.3","6.8","6.7","7.5","7","3.8"
"Europe and Central Asia","4.0999999999999996",3.3,"2.2000000000000002","-4.7","3.6","1.8","1.1000000000000001","1.4","2.2000000000000002","3.6",".."
"Albania","3.8",4.1,"2.2000000000000002","-5","8.8000000000000007","3.1","2.4","2.5","4.2","-0.1",".."
"Armenia","7.5",5.2,"7.6","-2.8","4.9000000000000004","..","..","..","..","..",".."
"Azerbaijan","0.2",1.5,"2.2000000000000002","-2.6","2.2000000000000002","..","..","..","..","..",".."
"Belarus","2.5",3.1,"1.2","-4","1","1.6","1.3","0.5","1.4","1.6",".."
"Bosnia and Herzegovina","3.2",3.7,"2.6","-3.2","3.4","4.0999999999999996","2.8","3","3.1","1.6",".."
"Bulgaria","3.5",3.1,"3.4","-6.2","4.3","3","4.5","3.6","2.9","2.9",".."
"Croatia","3.1",2.7,"2.9","-9.3000000000000007","5.4","2.2000000000000002","4.0999999999999996","2.4","2.9","2.5","0.4"
"Georgia","4.8",4.8,"5.0999999999999996","-4.8","4","3.2","5","4.5999999999999996","5.8","5.0999999999999996",".."
"Hungary","4.3",5.1,"4.9000000000000004","-5","4.5","5.3","5.3","4.9000000000000004","5","4.5","2.2000000000000002"
"Kazakhstan","4.0999999999999996",4.1,"4.5","-3","2.5","4.0999999999999996","3.8","4.4000000000000004","4.7","5",".."
"Kosovo","4.2",3.8,"4.2","-4.5","5.2","..","..","..","..","..",".."
"Kyrgyz Republic","4.7",3.8,"4.5","-4","5.6","..","..","..","..","..",".."
"Moldova","4.7",4.3,"3.6","-3.1","4","3.8","4.4000000000000004","5.8","4.3","0.2",".."
"Montenegro","4.7",5.1,"3.6","-5.6","4.8","..","..","..","..","..",".."
"North Macedonia","1.1000000000000001",2.7,"3.6","-2.1","3.9","6.2","3.8","3.4","3.6","3.4",".."
"Poland","4.9000000000000004",5.3,"4.0999999999999996","-4.2","2.8","4.8","4.8","4.2","4.0999999999999996","3.5","1.7"
"Romania","7.1",4.4,"4.0999999999999996","-5.7","5.4","4.4000000000000004","5","4.4000000000000004","3","4.3","2.4"
"Russia","1.8",2.5,"1.3","-6","2.7","2.8","0.4","1.1000000000000001","1.5","2.1","1.6"
"Serbia","2",4.4,"4.2","-2.5","4","3.5","2.6","2.9","4.8","6.2","5"
"Tajikistan","7.6",7.3,"7.5","-2","3.7","..","..","..","..","..",".."
"Turkey","7.5",2.8,"0.9","-3.8","5","-2.8","-2.2999999999999998","-1.6","1","6","4.5"
"Turkmenistan","6.5",6.2,"6.3","0","4","..","..","..","..","..",".."
"Ukraine","2.5",3.3,"3.2","-3.5","3","3.7","2.9","4.7","3.9","1.5","-1.5"
"Uzbekistan","4.5",5.4,"5.6","1.5","6.6","..","..","..","..","..",".."
"Latin America and the Caribbean","1.9",1.7,"0.8","-7.2","2.8","1.1000000000000001","0.6","0.6","1","0.8",".."
"Argentina","2.7",-2.5,"-2.2000000000000002","-7.3","2.1","-6.1","-5.8","0","-1.8","-1.1000000000000001",".."
"Belize","1.9",2.1,"0.3","-13.5","6.7","..","..","..","..","..",".."
"Bolivia","4.2",4.2,"2.7","-5.9","2.2000000000000002","3.3","3.1","2.6","2.2000000000000002","1.1000000000000001",".."
"Brazil","1.3",1.3,"1.1000000000000001","-8","2.2000000000000002","1.2","0.6","1.1000000000000001","1.2","1.7","-0.3"
"Chile","1.2",3.9,"1.1000000000000001","-4.3","3.1","3.3","1.4","1.8","3.4","-2.1","0.4"
"Colombia","1.4",2.5,"3.3","-4.9000000000000004","3.6","2.7","2.9","3.2","3.5","3.5","1.1000000000000001"
"Costa Rica","3.9",2.7,"2.1","-3.3","3","1.3","2","0.6","2.5","3.3",".."
"Dominica","-9.5",0.5,"9.6","-4","4","..","..","..","..","..",".."
"Dominican Republic","4.7",7,"5.0999999999999996","-0.8","2.5","6.3","5.7","3.7","5","5.8",".."
"Ecuador","2.4",1.3,"0.1","-7.4","4.0999999999999996","0.7","1.1000000000000001","0.5","-0.3","-1",".."
"El Salvador","2.2999999999999998",2.4,"2.4","-5.4","3.8","1.8","2.2000000000000002","1.6","2.9","2.8",".."
"Grenada","4.4000000000000004",4.2,"3.1","-9.6","6.5","..","..","..","..","..",".."
"Guatemala","3",3.1,"3.6","-3","4.0999999999999996","3.4","3.6","3.8","4.0999999999999996","3.9",".."
"Guyana","2.1",4.1,"4.7","51.1","8.1","..","..","..","..","..",".."
"Haiti","1.2",1.5,"-0.9","-3.5","1","..","..","..","..","..",".."
"Honduras","4.8",3.7,"2.7","-5.8","3.7","4.5","3","1.9","3.3","2.4",".."
"Jamaica","1",1.9,"0.7","-6.2","2.7","2","1.7","1.3","0.6","0",".."
"Mexico","2.1",2.2,"-0.3","-7.5","3","1.3","1.1000000000000001","-1.1000000000000001","-0.4","-0.7","-1.4"
"Nicaragua","4.5999999999999996",-4,"-3.9","-6.3","0.7","-7.4","-9.1","-3.1","-2.9","-0.2",".."
"Panama","5.6",3.7,"3","-2","4.2","4.2","3.1","2.9","2.7","3.3",".."
"Paraguay","5",3.4,"0","-2.8","4.2","0.5","-2.7","-3.3","2.6","3.5",".."
"Peru","2.5",4,"2.2000000000000002","-12","7","4.8","2.4","1.2","3.2","1.8","-3.4"
"St Lucia","2.2000000000000002",1.4,"1.4","-8.8000000000000007","8.3000000000000007","..","..","..","..","..",".."
"St Vincent and the Grenadines","1",2,"0.4","-5.5","4","..","..","..","..","..",".."
"Suriname","1.8",2.6,"2.2999999999999998","-5","3","..","..","..","..","..",".."
"Uruguay","2.6",1.6,"0.2","-3.7","4.5999999999999996","0.6","-0.5","0.1","1.1000000000000001","0.2",".."
"Middle East and North Africa","1.1000000000000001",0.9,"-0.2","-4.2","2.2999999999999998","3.7","2.4","1.7","1.1000000000000001","0.9",".."
"Algeria","1.3",1.4,"0.8","-6.4","1.9","..","..","..","..","..",".."
"Bahrain","4.3",1.8,"1.8","-4.5","2.2999999999999998","5.0999999999999996","3.3","1.8","2.7","-0.4",".."
"Djibouti","5.4",8.4,"7.5","1.3","9.1999999999999993","..","..","..","..","..",".."
"Egypt","4.2",5.3,"5.6","3","2.1","5.5","5.6","5.7","5.6","5.6",".."
"Iran","3.8",-4.7,"-8.1999999999999993","-5.3","2.1","..","..","..","..","..",".."
"Iraq","-2.5",-0.6,"4.4000000000000004","-9.6999999999999993","1.9","..","..","..","..","..",".."
"Jordan","2.1",1.9,"2","-3.5","2","1.8","2","1.8","1.9","2.1",".."
"Kuwait","-4.7",1.2,"0.4","-5.4","1.1000000000000001","2","0.9","1.8","0.1","-1.1000000000000001",".."
"Lebanon","0.9",-1.9,"-5.6","-10.9","-6.3","..","..","..","..","..",".."
"Morocco","4.2",3,"2.2999999999999998","-4","3.4","..","..","..","..","..",".."
"Oman","0.3",1.8,"0.5","-4","2","..","..","..","..","..",".."
"Qatar","1.6",1.5,"-0.3","-3.5","3.6","0.5","0.8","-1","0","-0.6",".."
"Saudi Arabia","-0.7",2.4,"0.3","-3.8","2.5","4.3","1.7","0.5","-0.5","-0.3",".."
"Tunisia","1.9",2.7,"1","-4","4.2","2.1","1.2","1.2","1","0.8","-1.5"
"United Arab Emirates","0.5",1.7,"1.7","-4.5","1.4","..","..","..","..","..",".."
"West Bank and Gaza","1.4",1.2,"0.9","-7.6","5.0999999999999996","3.5","4.0999999999999996","2.2999999999999998","-0.6","-1.8",".."
"South Asia","6.5",6.5,"4.7","-2.7","2.8","5.5","5.6","5.5","5","4.5999999999999996",".."
"Afghanistan","2.7",1.8,"2.9","-5.5","1","..","..","..","..","..",".."
"Bangladesh ","7.3",7.9,"8.1999999999999993","1.6","1","..","..","..","..","..",".."
"Bhutan ","6.3",3.8,"3.9","1.5","1.8","..","..","..","..","..",".."
"India ","7",6.1,"4.2","-3.2","3.1","5.6","5.7","5.2","4.4000000000000004","4.0999999999999996","3.1"
"Maldives","6.8",6.9,"5.2","-13","8.5","..","..","..","..","..",".."
"Nepal ","8.1999999999999993",6.7,"7","1.8","2.1","..","..","..","..","..",".."
"Pakistan ","5.2",5.5,"1.9","-2.6","-0.2","..","..","..","..","..",".."
"Sri Lanka","3.6",3.3,"2.2999999999999998","-3.2","0","1.9","3.7","1.1000000000000001","2.4","2",".."
"Sub-Saharan Africa","2.6",2.6,"2.2000000000000002","-2.8","3.1","2.6","2.1","2.2999999999999998","2","2.1",".."
"Angola","-0.1",-2,"-0.9","-4","3.1","..","..","..","..","..",".."
"Benin","5.8",6.7,"6.9","3.2","6","..","..","..","..","..",".."
"Botswana","2.9",4.5,"3.5","-9.1","4.2","4.2","4.3","3","3","1.6",".."
"Burkina Faso","6.3",6.8,"5.7","2","5.8","..","..","..","..","..",".."
"Burundi","0.5",1.6,"1.8","1","2.2999999999999998","..","..","..","..","..",".."
"Cabo Verde","3.7",5.1,"5.5","-5.5","5","..","..","..","..","..",".."
"Cameroon","3.5",4.1,"3.9","-0.2","3.4","..","..","..","..","..",".."
"Central African Republic","4.5",3.7,"3.1","0.8","3.5","..","..","..","..","..",".."
"Chad","-3",2.6,"3.2","-0.2","4.7","..","..","..","..","..",".."
"Comoros","3.8",3.4,"1.9","-1.4","3.2","..","..","..","..","..",".."
"Congo Dem Rep.","3.7",5.8,"4.4000000000000004","-2.2000000000000002","3.5","..","..","..","..","..",".."
"Congo Rep","-1.8",1.6,"-0.9","-6.2","-1.1000000000000001","..","..","..","..","..",".."
"Côte d'Ivoire","7.4",6.8,"6.9","2.7","8.6999999999999993","..","..","..","..","..",".."
"Equatorial Guinea","-4.7",-6.1,"-6.2","-8.4","-1.6","..","..","..","..","..",".."
"Eritrea","-10",13,"3.7","-0.7","5.7","..","..","..","..","..",".."
"Eswatini","2",2.4,"1.3","-2.8","2.7","..","..","..","..","..",".."
"Ethiopia","10",7.9,"9","3.2","3.6","..","..","..","..","..",".."
"Gabon","0.5",0.8,"3.3","-3.2","-2.6","..","..","..","..","..",".."
"Gambia The","4.8",6.6,"6","2.5","6.5","..","..","..","..","..",".."
"Ghana","8.1",6.3,"6.5","1.5","3.4","6.8","6.7","5.7","5.6","7.9",".."
"Guinea","10.3",6.2,"5.6","2.1","7.9","..","..","..","..","..",".."
"Guinea-Bissau","5.9",3.8,"4.7","-1.6","3.1","..","..","..","..","..",".."
"Kenya","4.8",6.3,"5.4","1.5","5.2","6.5","5.5","5.3","5.2","5.5",".."
"Lesotho","-0.4",1.5,"1.4","-5.0999999999999996","5.5","0.5","-3.4","-2.1","1.3","..",".."
"Liberia","2.5",1.2,"-2.2999999999999998","-2.6","4","..","..","..","..","..",".."
"Madagascar","3.9",4.6,"4.8","-1.2","4","..","..","..","..","..",".."
"Malawi","4",3.5,"4.4000000000000004","2","3.5","..","..","..","..","..",".."
"Mali","5.3",4.7,"5.0999999999999996","0.9","4","..","..","..","..","..",".."
"Mauritania","3",3.6,"6.3","-2","4.2","..","..","..","..","..",".."
"Mauritius","3.8",3.7,"3.6","-6.8","6.4","..","..","..","..","..",".."
"Mozambique","3.7",3.4,"2.2000000000000002","1.3","3.6","3","2.5","2.2999999999999998","2","2",".."
"Namibia","-0.3",0.7,"-1.1000000000000001","-4.8","3","-4.2","-3.6","-2.9","-0.8","..",".."
"Niger","4.9000000000000004",6.5,"6.3","1","8.1","..","..","..","..","..",".."
"Nigeria","0.8",1.9,"2.2000000000000002","-3.2","1.7","2.4","2.1","2.1","2.1","2.5","2"
"Rwanda","6.1",8.6,"9.4","2","6.9","..","..","..","..","..",".."
"São Tomé and Príncipe","3.9",2.7,"2.4","-9.5","6.1","..","..","..","..","..",".."
"Senegal","7.4",6.4,"5.3","1.3","4","..","..","..","..","..",".."
"Seychelles","4.3",4.1,"3.8","-11.1","6.3","..","..","..","..","..",".."
"Sierra Leone","3.8",3.5,"5.0999999999999996","-2.2999999999999998","4","..","..","..","..","..",".."
"South Africa","1.4",0.8,"0.2","-7.1","2.9","1.1000000000000001","0","0.9","0.1","-0.5",".."
"South Sudan","-6.9",-3.5,"3.2","-4.3","-23.6","..","..","..","..","..",".."
"Sudan","4.3",-2.3,"-2.6","-4","0.5","..","..","..","..","..",".."
"Tanzania","6.8",5.4,"5.8","2.5","5.5","7.1","6.5","7.2","6.8","..",".."
"Togo","4.4000000000000004",4.9,"5.3","1","4","..","..","..","..","..",".."
"Uganda","3.9",6.2,"6.5","3.3","3.7","7.3","7.7","4.8","4.5","5.6",".."
"Zambia","3.4",4,"1.7","-0.8","2.4","2.5","2.4","2.4","1","..",".."
"Zimbabwe","4.7",3.5,"-8.1","-10","2.9","..","..","..","..","..",".."
